country,code,year,electricity_access,food_imports,freshwater_per_capita,renewable_electricity,undernourishment,water_withdrawal
Bahrain,BHR,2000,100.0,9.698642707,6.273702834,0.0,,7218.413475
Bahrain,BHR,2001,100.0,11.74189121,6.048545627,0.0,,6808.108975
Bahrain,BHR,2002,100.0,10.93562838,5.629418214,0.0,,6397.8045
Bahrain,BHR,2003,100.0,9.571281502,5.23206155,0.0,,5967.5
Bahrain,BHR,2004,100.0,8.105738935,4.855895239,0.0,,5832.04545
Bahrain,BHR,2005,100.0,6.796056113,4.50033865,0.0,,5696.5909
Bahrain,BHR,2006,100.0,5.724408925,4.164827201,0.0,,5561.136375
Bahrain,BHR,2007,100.0,5.16493125,3.848762863,0.0,,5425.681825
Bahrain,BHR,2008,100.0,6.302129414,3.624843226,0.005257624,,5290.227275
Bahrain,BHR,2009,100.0,7.983990793,3.394389922,0.005318913,,5154.772725
Bahrain,BHR,2010,100.0,7.614975839,3.255889293,0.005036938,,5019.318175
Bahrain,BHR,2011,100.0,8.313941765,3.347224314,0.004930561,,4883.86365
Bahrain,BHR,2012,100.0,10.78563213,3.308617957,0.008193744,,4748.4091
Bahrain,BHR,2013,100.0,9.16647391,3.191851841,0.007832999,,4612.95455
Bahrain,BHR,2014,100.0,9.422277816,3.042838603,0.034675082,,4477.5
Bahrain,BHR,2015,100.0,11.67082333,2.919021953,0.03317652,,3977.5
Bahrain,BHR,2016,100.0,11.9218922,2.809529362,0.033146264,,3877.5
Bahrain,BHR,2017,100.0,10.33687172,2.664684142,0.032335329,,3877.5
Bahrain,BHR,2018,100.0,9.246678738,2.661182856,0.031974285,,3877.5
Bahrain,BHR,2019,100.0,9.750282674,2.695861045,0.033833791,,3877.5
Bahrain,BHR,2020,100.0,11.66433548,2.717014762,0.033551016,,3877.5
Bahrain,BHR,2021,100.0,12.27928237,2.658929183,0.037442044,,3877.5
Bahrain,BHR,2022,100.0,14.1665572,2.623478956,,,3877.5
Bahrain,BHR,2023,100.0,13.91212355,,,,
Kuwait,KWT,2000,100.0,13.84479104,0.0,0.0,,
Kuwait,KWT,2001,100.0,12.59747052,0.0,0.0,2.5,
Kuwait,KWT,2002,100.0,12.01356899,0.0,0.0,2.5,
Kuwait,KWT,2003,100.0,11.86106268,0.0,0.0,2.5,
Kuwait,KWT,2004,100.0,10.98950426,0.0,0.0,2.5,
